Table 4:Imports by Commodities and Partner Countries : 		Based on First Month (Shrawan) of FY 2079/80 (Mid July 2022 to Mid August 2022)				
				(Import Value and Imports Revenue are in Rs. Thousands)		
HSCode	Description	Partner Countries	Unit	Quantity	Imports_Value	Imports_Revenue
34059000	Other polishes, creams and similar prepara  ions, nes	China	Kg	770	356	104
34059000	Other polishes, creams and similar prepara  ions, nes	India	Kg	9843	1282	380
34059000	Other polishes, creams and similar prepara  ions, nes	United States	Kg	3	45	13
34060000	Candles, tapers and the like  .	China	Kg	15220	3458	1035
34060000	Candles, tapers and the like  .	France	Kg	1	4	1
34060000	Candles, tapers and the like  .	India	Kg	332	58	17
34060000	Candles, tapers and the like  .	Israel	Kg	1	1	0
34070010	Modelling Paste, including those put up for children's amusement	China	Kg	730	247	74
34070010	Modelling Paste, including those put up for children's amusement	India	Kg	35	9	3
34070010	Modelling Paste, including those put up for children's amusement	Japan	Kg	75	85	26
34070090	Other preparations for use in dentistry	China	Kg	242	3432	1028
34070090	Other preparations for use in dentistry	India	Kg	1430	1121	336
35019000	Caseinates and other casein derivatives; c  sein glues	India	Kg	960	1626	395
35022000	Milk albumin, including concentrates of tw   or more whey proteins	India	Kg	3000	6755	1641
35029000	Albumins (excl egg albumin and milk album i ), albuminates and other derivatives.	India	Kg	0	1	0
35030000	Gelatin and derivatives; isinglass; glues   f animal origin (excl 3501)	India	Kg	154	139	34
35040000	Peptones/protein substances and derivative  , nes; hide powder	China	Kg	3	3	1
35040000	Peptones/protein substances and derivative  , nes; hide powder	India	Kg	5210	2476	490
35040000	Peptones/protein substances and derivative  , nes; hide powder	Singapore	Kg	1	4	1
35051000	Dextrins and other modified starches  .	China	Kg	465	171	83
35051000	Dextrins and other modified starches  .	India	Kg	1575	201	45
35051000	Dextrins and other modified starches  .	United Kingdom	Kg	0	2	0
35052000	Glues based on starches, dextrins or other  modified starches	China	Kg	1995	494	120
35052000	Glues based on starches, dextrins or other  modified starches	India	Kg	2726	245	60
35052000	Glues based on starches, dextrins or other  modified starches	United States	Kg	1	5	1
35061000	Products put up as glues or adhesives for   etail sale, =<1kg	Australia	Kg	30	4	1
35061000	Products put up as glues or adhesives for   etail sale, =<1kg	Belgium	Kg	1	2	1
35061000	Products put up as glues or adhesives for   etail sale, =<1kg	China	Kg	34140	9294	2265
35061000	Products put up as glues or adhesives for   etail sale, =<1kg	India	Kg	77768	50387	10736
35061000	Products put up as glues or adhesives for   etail sale, =<1kg	Turkey	Kg	1	41	10
35061000	Products put up as glues or adhesives for   etail sale, =<1kg	United States	Kg	20	298	73
35069100	Adhesives based on polymers of heading 39 0  to 3913 or on rubber	China	Kg	8538	4692	1140
35069100	Adhesives based on polymers of heading 39 0  to 3913 or on rubber	Germany	Kg	625	1656	403
35069100	Adhesives based on polymers of heading 39 0  to 3913 or on rubber	India	Kg	564963	157956	31926
35069100	Adhesives based on polymers of heading 39 0  to 3913 or on rubber	Indonesia	Kg	3	3	1
35069100	Adhesives based on polymers of heading 39 0  to 3913 or on rubber	United States	Kg	4	18	4
35069900	Prepared glues and other prepared adhesive  , nes	China	Kg	14340	3275	806
35069900	Prepared glues and other prepared adhesive  , nes	Germany	Kg	0	6	1
35069900	Prepared glues and other prepared adhesive  , nes	India	Kg	83641	15458	3280
35069900	Prepared glues and other prepared adhesive  , nes	Korea, Republic of	Kg	1	34	10
35069900	Prepared glues and other prepared adhesive  , nes	Malaysia	Kg	5520	2913	708
35069900	Prepared glues and other prepared adhesive  , nes	Spain	Kg	73	74	18
35069900	Prepared glues and other prepared adhesive  , nes	Thailand	Kg	1110	209	51
35069900	Prepared glues and other prepared adhesive  , nes	United States	Kg	5	21	5
35079000	Enzymes; prepared enzymes (not elsewhere s  ecified or included)	France	Kg	620	4184	1017
35079000	Enzymes; prepared enzymes (not elsewhere s  ecified or included)	India	Kg	15106	14941	2936
36020000	Prepared explosives, (excl propellent pow d rs).	India	Kg	210000	41559	9865
36032000	Detonating cords	India	Kg	6045	5277	1253
36033000	Percussion caps	India	Kg	400	1009	239
36034000	Detonating caps	India	Kg	2930	5362	1273
36035000	Igniters	India	Kg	760	1153	274
36036000	Electric detonators	India	Kg	13354	14771	3506
36061000	Liquid or liquefied-gas fuels in container  , for lighters, =<300cm3.	China	Kg	45	24	8
36069000	Ferro-cerium, pyrophoric alloys; articles   f combustible materials, nes.	India	Kg	25	9	1
37011000	Photographic plates & film for x-ray, in t  e flat, unexposed.	China	SQM	4090	12796	640
37011000	Photographic plates & film for x-ray, in t  e flat, unexposed.	India	SQM	836	945	47
37011000	Photographic plates & film for x-ray, in t  e flat, unexposed.	United Arab Emirates	SQM	1048	3267	164
37013000	Other plate and film with any side >255mm	India	SQM	2	47	11
37021000	Photographic film in rolls, for x-ray, une  posed	China	SQM	1	1	0
37023200	Film, in rolls, non-perforated, with silve   halide emulsion, width =<105mm	China	SQM	55	4	1
37032000	Other photographic paper, paperboard and t  xtiles for colour photography	India	SQM	36378	5262	1279
37039000	Photographic paper, paperboard and textile  , nes.	China	SQM	1885	197	79
37039000	Photographic paper, paperboard and textile  , nes.	India	SQM	1274	37	9
37069000	Cinematograph film, exposed and developed,  width <35mm	India	MTR	6	595	213
37069000	Cinematograph film, exposed and developed,  width <35mm	United States	MTR	2	30	49
37071000	Sensitising emulsions for photographic use	India	Kg	1	1	0
37079010	Toner Powder	China	Kg	386	1229	229
37079010	Toner Powder	India	Kg	2087	2005	373
37079010	Toner Powder	Philippines	Kg	4	314	59
37079010	Toner Powder	Viet Nam	Kg	1	21	4
37079090	Other chemical preparation for photographic uses, put up for retail sale	India	Kg	6264	4809	897
37079090	Other chemical preparation for photographic uses, put up for retail sale	Ukraine	Kg	7	79	0
38019000	Preparations based on graphite or carbon i   the form of pastes, nes.	India	Kg	60000	3225	784
38019000	Preparations based on graphite or carbon i   the form of pastes, nes.	United States	Kg	1200	2131	518
38021000	Activated carbon  .	India	Kg	25701	4097	764
38029000	Activated natural mineral products; animal  black	China	Kg	2000	389	73
38029000	Activated natural mineral products; animal  black	India	Kg	141449	11977	2234
38040000	Residual lyes from the manufacture of wood  pulp (excl tall oil)	India	Kg	50	23	4
38051000	Gum, wood or sulphate turpentine oils	China	LTR	100	3	1
38051000	Gum, wood or sulphate turpentine oils	India	LTR	914	94	23
38059000	Other turpenic oils, nes; crude dipentene,  crude paracymene, pine oil etc	China	Kg	15	3	1
38059000	Other turpenic oils, nes; crude dipentene,  crude paracymene, pine oil etc	India	Kg	14378	3148	724
38061000	Rosin and resin acids	India	Kg	100	25	6
38063000	Ester gums	India	Kg	4145	835	203
38069000	Derivatives of rosin and resin acids, nes;  rosin spirit and oils, nes	India	Kg	33600	2192	434
38085900	Other	India	Kg	6730	1119	272
38086900	Other	India	Kg	150	83	20
38089110	Household Insecticide like Anti-Mosquito, A ti-Cockroach Products[K	China	Kg	105	24	7
38089110	Household Insecticide like Anti-Mosquito, A ti-Cockroach Products[K	France	Kg	134	2876	861
38089110	Household Insecticide like Anti-Mosquito, A ti-Cockroach Products[K	India	Kg	35295	33444	9287
38089110	Household Insecticide like Anti-Mosquito, A ti-Cockroach Products[K	United Kingdom	Kg	0	1	0
38089190	Balinalima paryog hune Kitnashak Aushadiharoo	China	Kg	10800	21697	217
38089190	Balinalima paryog hune Kitnashak Aushadiharoo	India	Kg	418443	126062	2087
38089190	Balinalima paryog hune Kitnashak Aushadiharoo	Thailand	Kg	199	1358	14
38089200	Fungicides	China	Kg	4000	8876	89
38089200	Fungicides	India	Kg	131910	50106	682
38089200	Fungicides	Viet Nam	Kg	10000	3087	31
38089310	Herbicides	India	Kg	27397	20916	274
38089390	Antisprouting Products & Plant Growth Regulator	India	Kg	24037	17925	4374
38089390	Antisprouting Products & Plant Growth Regulator	Thailand	Kg	21861	6603	1605
38089410	Sanitizer	India	Kg	14982	2536	473
38089410	Sanitizer	Spain	Kg	12	7	1
38089490	Other disinfected	China	Kg	5851	3222	601
38089490	Other disinfected	India	Kg	25215	15209	2934
38089490	Other disinfected	Ireland	Kg	140	981	183
38089490	Other disinfected	Italy	Kg	4200	2960	418
38089490	Other disinfected	Saudi Arabia	Kg	2650	1579	223
38089911	Other - rodenticides, herbicides, a plan t  rowth regulator (excl note 1) nes	India	Kg	6080	5104	85
38089990	Others	China	Kg	186	63	12
38089990	Others	India	Kg	18158	3791	707
38099100	Finishing agents, etc, of a kind used in t  e textile or like industries nes.	China	Kg	0	1	0
38099100	Finishing agents, etc, of a kind used in t  e textile or like industries nes.	India	Kg	75909	21850	4380
38099200	Finishing agents, etc, of a kind used in t  e paper or like industries nes	India	Kg	79668	8671	1744
38099300	Finishing agents, etc, of a kind used in t  e leather or like industries nes.	India	Kg	6126	1576	352
38101000	Pickling preparations for metal surfaces;   oldering, brazing or welding powders.	India	Kg	4803	603	147
38109000	Other - Pickling preparations for metal su  faces	India	Kg	50039	2272	451
38111900	Anti-knock preparations (excl based on le a )	India	Kg	275	550	165
38112100	Additives for lubricating oils with petrol  um oils or oil obtain from bituminous	India	Kg	1000	992	297
38112100	Additives for lubricating oils with petrol  um oils or oil obtain from bituminous	Malaysia	Kg	3990	2205	661
38112900	Additives for lubricating oils (excl with   etroleum oils)	India	Kg	420	173	50
38119000	Other additives other than for lubricating  oils, nes	India	Kg	4683	1712	513
38121000	Prepared rubber accelerators  .	India	Kg	3285	1222	274
38122000	Compound plasticisers for rubber or plasti  s, nes	China	Kg	3500	1647	400
38122000	Compound plasticisers for rubber or plasti  s, nes	India	Kg	45480	11747	2593
38123100	Mixtures of oligomers of 2,2,4-trimethyl-1,2-dihydroquinoline (TMQ)	India	Kg	855	365	8
38123900	Other	China	Kg	5550	1654	309
38123900	Other	India	Kg	19538	9528	1745
38130000	Preparations for fire-extinguishers; charg  d fire-extinguishing grenades	India	Kg	4500	368	90
38140000	Organic composite solvents and thinners, n  s; paint or varnish removers.	China	LTR	4366	1360	516
38140000	Organic composite solvents and thinners, n  s; paint or varnish removers.	Egypt	LTR	3600	628	278
38140000	Organic composite solvents and thinners, n  s; paint or varnish removers.	India	LTR	84713	15429	5767
38140000	Organic composite solvents and thinners, n  s; paint or varnish removers.	United Arab Emirates	LTR	310	195	66
38140000	Organic composite solvents and thinners, n  s; paint or varnish removers.	United Kingdom	LTR	1000	1968	614
38140000	Organic composite solvents and thinners, n  s; paint or varnish removers.	United States	LTR	2	47	14
38151200	Supported catalysts with precious metal or  its compounds as the active substance	China	Kg	6	15	4
38151900	Supported catalysts, nes  .	India	Kg	70	114	27
38159000	Others - Reactive initiators, accelerators  & catalytic preparations nes.	Finland	Kg	3750	1833	445
38159000	Others - Reactive initiators, accelerators  & catalytic preparations nes.	India	Kg	11136	1585	382
38160000	Refractory cements, mortars, concretes and similar compositions, including dolomite r	China	Kg	51900	8833	2147
38160000	Refractory cements, mortars, concretes and similar compositions, including dolomite r	India	Kg	2876443	75431	16709
38170000	Mixed alkylbenzenes and mixed alkylnaphtha   enes other than those of head 2707 o	India	Kg	5250	1479	351
38190010	Hydraulic Brake Fluid	Bangladesh	LTR	12480	3602	1283
38190010	Hydraulic Brake Fluid	India	LTR	26991	7663	2722
38190090	Other prepared liquids for hydraulic transmission	India	LTR	1100	425	151
38190090	Other prepared liquids for hydraulic transmission	United Arab Emirates	LTR	27619	5466	1946
38200000	Anti-freezing preparations and prepared de  icing fluids	India	Kg	51232	7045	1727
38210000	Prepared culture media for development or   aintenance of  microorganisms(includi	Australia	Kg	14	376	92
38210000	Prepared culture media for development or   aintenance of  microorganisms(includi	Belgium	Kg	16	306	74
38210000	Prepared culture media for development or   aintenance of  microorganisms(includi	Finland	Kg	1	26	6
38210000	Prepared culture media for development or   aintenance of  microorganisms(includi	France	Kg	239	4863	1182
38210000	Prepared culture media for development or   aintenance of  microorganisms(includi	India	Kg	774	3338	806
38210000	Prepared culture media for development or   aintenance of  microorganisms(includi	Italy	Kg	2	115	28
38210000	Prepared culture media for development or   aintenance of  microorganisms(includi	Sweden	Kg	14	619	150
38210000	Prepared culture media for development or   aintenance of  microorganisms(includi	United Kingdom	Kg	72	1457	354
38221100	For malaria	India	Kg	478	1811	91
38221200	For Zika and other diseases transmitted by mosquitoes of the genus Aedes	Canada	Kg	16	97	5
38221200	For Zika and other diseases transmitted by mosquitoes of the genus Aedes	India	Kg	12	39	2
38221200	For Zika and other diseases transmitted by mosquitoes of the genus Aedes	Korea, Republic of	Kg	15	250	12
38221900	Other	China	Kg	2880	912	46
38221900	Other	France	Kg	21	734	37
38221900	Other	Germany	Kg	10068	3709	174
38221900	Other	India	Kg	3144	9873	494
38221900	Other	Korea, Republic of	Kg	45	920	46
38221900	Other	United Kingdom	Kg	20	2456	0
38221900	Other	United States	Kg	85	13311	0
38229000	Other	Austria	Kg	47	1883	351
38229000	Other	Canada	Kg	93	1115	208
38229000	Other	China	Kg	31774	79261	14785
38229000	Other	Czech Republic	Kg	364	3175	592
38229000	Other	Denmark	Kg	43	411	77
38229000	Other	Egypt	Kg	76	1285	240
38229000	Other	France	Kg	905	7852	1465
38229000	Other	Germany	Kg	6357	17309	3229
38229000	Other	Hungary	Kg	4	83	15
38229000	Other	India	Kg	19858	33424	6106
38229000	Other	Iran, Islamic Republic of	Kg	1100	653	122
38229000	Other	Ireland	Kg	417	5016	723
38229000	Other	Israel	Kg	0	0	0
38229000	Other	Italy	Kg	30	412	77
38229000	Other	Japan	Kg	303	6053	1129
38229000	Other	Jordan	Kg	4	94	18
38229000	Other	Korea, Republic of	Kg	857	11593	2162
38229000	Other	Lithuania	Kg	0	13	2
38229000	Other	Malaysia	Kg	40	1195	223
38229000	Other	Netherlands	Kg	20	8	2
38229000	Other	Not_Specified	Kg	282	2500	467
38229000	Other	Puerto Rico	Kg	1059	4868	908
38229000	Other	Singapore	Kg	34	390	73
38229000	Other	Spain	Kg	264	2456	458
38229000	Other	Sweden	Kg	46	498	93
38229000	Other	Switzerland	Kg	10	676	126
38229000	Other	Taiwan, Province of China	Kg	17	133	25
38229000	Other	Thailand	Kg	0	1	0
38229000	Other	United Kingdom	Kg	1707	26707	4982
38229000	Other	United States	Kg	6111	82713	7499
38231100	Stearic acid	China	Kg	75	25	5
38231100	Stearic acid	India	Kg	43618	10240	1876
38231100	Stearic acid	Malaysia	Kg	16000	3726	695
38231900	Industrial monocarboxylic fatty acids & ac  d oils from refining nes.	India	Kg	38637	4254	793
38231900	Industrial monocarboxylic fatty acids & ac  d oils from refining nes.	Indonesia	Kg	41915	6372	1188
38231900	Industrial monocarboxylic fatty acids & ac  d oils from refining nes.	Malaysia	Kg	91140	18258	3405
38231900	Industrial monocarboxylic fatty acids & ac  d oils from refining nes.	Saudi Arabia	Kg	21670	3852	718
38231900	Industrial monocarboxylic fatty acids & ac  d oils from refining nes.	Singapore	Kg	42000	6155	1148
38237000	Industrial fatty alcohols	India	Kg	3035	1493	275
38241000	Prepared binders for foundry moulds or cor  s	China	Kg	225	53	12
38241000	Prepared binders for foundry moulds or cor  s	India	Kg	179858	4780	1005
38244000	Prepared additives for cements, mortars or  concretes	China	Kg	651	262	109
38244000	Prepared additives for cements, mortars or  concretes	India	Kg	1135415	87790	19173
38244000	Prepared additives for cements, mortars or  concretes	Indonesia	Kg	240	5	1
38245000	Non-refractory mortars and concretes  .	India	Kg	182086	6511	1518
38248900	Containing short-chain chlorinated paraffins	China	Kg	3360	1919	466
38249100	Mixtures and preparations consisting mainlyof ...	China	Kg	1726	264	67
38249100	Mixtures and preparations consisting mainlyof ...	India	Kg	2133	842	205
38249200	Polyglycol esters of methylphosphonic acid	China	Kg	203	187	46
38249910	Chloromited Paraffin wax	India	Kg	167970	16071	3231
38249910	Chloromited Paraffin wax	United Kingdom	Kg	10	7	0
38249920	Solid or Dialysis bath concetrator used in kidney patient	Philippines	Kg	159717	24788	248
38249990	Other chemical products and preparations of the chemical or allied industries	China	Kg	55177	2895	703
38249990	Other chemical products and preparations of the chemical or allied industries	Germany	Kg	16100	3991	970
38249990	Other chemical products and preparations of the chemical or allied industries	India	Kg	242774	24534	5752
38249990	Other chemical products and preparations of the chemical or allied industries	Turkey	Kg	3645	123	30
